multiplier avg_speed
0.0001 3.416196095371939
0.01 3.6319011078340337
0.02 4.125490189325824
0.05 4.3357154437518215
0.1 4.3388773490379435
0.25 3.585700908833642
0.5 3.3263982144759097
0.75 3.25879727062738
1 2.886574460346254
2 2.5726190936967477
3 1.804541936321303
4 1.6470018332062395
5 1.3749476709274762
